Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Pakaian Pria,PROMO TERBARU JEANS PRIA PANJANG NAOMI SOFT JEANS LEMBUT DAN STREECT/MELAR BISA COD 27-32,celana jeans,promo terbaru jeans pria panjang naomi soft jeans lembut dan streectmelar bisa cod,jeans naomi soft jeans streectmelar,jeans naomi soft jeans streectmelar,14.0,5.0,9.0,64.3
Shopee,Pakaian Pria,Denim Celana Jeans Pria Celana Reguler Fit Pria Jeans Cowok Dewasa Jeans Jumbo Korean Style Straight Pants Hitam Biru Premium Kekinian Panjang Celana Longgar,celana jeans,denim celana jeans pria celana reguler fit pria jeans cowok dewasa jeans jumbo korean style straight pants hitam biru premium kekinian panjang celana longgar,denim celana jeans celana jeans jeans korean style straight pants kekinian celana,denim celana jeans celana jeans jeans korean style straight pants kini celana,24.0,12.0,12.0,50.0
Shopee,Pakaian Pria,celana jeans pria panjang skinny stretch jins hitam abu pensil slimfit cowok celana denim dewasa casual korean style,celana jeans skinny,celana jeans pria panjang skinny stretch jins hitam abu pensil slimfit cowok celana denim dewasa casual korean style,celana jeans skinny stretch jins abu pensil slimfit celana denim casual korean style,celana jeans skinny stretch jins abu pensil slimfit celana denim casual korean style,18.0,13.0,5.0,27.8
Shopee,Pakaian Pria,Celana jeans pria panjang baggy pants straight celana denim dewasa kulot loose fit jumbo cowok korean style,celana jeans baggy,celana jeans pria panjang baggy pants straight celana denim dewasa kulot loose fit jumbo cowok korean style,celana jeans baggy pants straight celana denim kulot loose korean style,celana jeans baggy pants straight celana denim kulot loose korean style,17.0,11.0,6.0,35.3
Shopee,Pakaian Pria,M231 Celana Panjang Jeans Denim Pria Bleach C1164,celana jeans denim,m celana panjang jeans denim pria bleach c,celana jeans denim bleach,celana jeans denim bleach,8.0,4.0,4.0,50.0
Shopee,Pakaian Pria,NANGKON - Celana Jeans Pria Bahan Melar Pensil Cowok Hitam Panjang Pria Slim Fit NANGKON Premium,celana jeans slim fit,nangkon celana jeans pria bahan melar pensil cowok hitam panjang pria slim fit nangkon premium,nangkon celana jeans pensil slim nangkon,nangkon celana jeans pensil slim nangkon,16.0,6.0,10.0,62.5
Shopee,Pakaian Pria,Celana Jeans Jumbo Pria Big Size Bahan Halus,celana jeans jumbo,celana jeans jumbo pria big size bahan halus,celana jeans big,celana jeans big,8.0,3.0,5.0,62.5
Shopee,Pakaian Pria,Celana Jeans Pria celana jeans pria Celana panjang pria jeans pria celana korean style pria baggy jeans pria celana jeans pria panjang celana kulot denim pria fashion jeans baggy jeans pria jumbo,celana jeans,celana jeans pria celana jeans pria celana panjang pria jeans pria celana korean style pria baggy jeans pria celana jeans pria panjang celana kulot denim pria fashion jeans baggy jeans pria jumbo,celana jeans celana jeans celana jeans celana korean style baggy jeans celana jeans celana kulot denim jeans baggy jeans,celana jeans celana jeans celana jeans celana korean style baggy jeans celana jeans celana kulot denim jeans baggy jeans,32.0,19.0,13.0,40.6
Shopee,Pakaian Pria,CELANA JEANS PRIA PULL&BEAR SKINNY FIT STRETCH PENSIL SOFT JEANS,celana jeans pull&bear,celana jeans pria pullbear skinny fit stretch pensil soft jeans,celana jeans pullbear skinny stretch pensil soft jeans,celana jeans pullbear skinny stretch pensil soft jeans,10.0,8.0,2.0,20.0
Shopee,Pakaian Pria,promo cuci gudang Celana panjang jeans pria lois terlaris termurah bisa bayar ditempat [ COD ],celana jeans,promo cuci gudang celana panjang jeans pria lois terlaris termurah bisa bayar ditempat cod,celana jeans lois,celana jeans lois,16.0,3.0,13.0,81.2
