Source,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Klik K24,GLUCOPHAGE XR 500MG TABLET,glucophage xr,glucophage xr mg tablet,glucophage xr mg tablet,glucophage xr mg tablet,4.0,4.0,0.0,0.0
Klik K24,METFORMIN GEN DEXA 500MG TABLET,metformin,metformin gen dexa mg tablet,metformin gen dexa mg tablet,metformin gen dexa mg tablet,5.0,5.0,0.0,0.0
Klik K24,GLUCOPHAGE 500MG TABLET,glucophage,glucophage mg tablet,glucophage mg tablet,glucophage mg tablet,3.0,3.0,0.0,0.0
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 25),thermolyte diet sugar,thermolyte diet sugar dos isi,thermolyte diet sugar dos,thermolyte diet sugar dos,7.0,4.0,3.0,42.9
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 50),thermolite diet sugar,thermolyte diet sugar dos isi,thermolyte diet sugar dos,thermolyte diet sugar dos,7.0,4.0,3.0,42.9
Klik K24,NUTRISALIN GARAM DIET 200G,nutrisalin garam,nutrisalin garam diet g,nutrisalin garam diet,nutrisalin garam diet,4.0,3.0,1.0,25.0
Klik K24,THERMOLYTE PLUS (1 DOS ISI 60),thermolite plus,thermolyte plus dos isi,thermolyte dos,thermolyte dos,6.0,2.0,4.0,66.7
Klik K24,THERMOLYTE PLUS (1 DOS ISI 30),thermolite plus,thermolyte plus dos isi,thermolyte dos,thermolyte dos,6.0,2.0,4.0,66.7
Klik K24,THERMOLYTE PLUS (1 DOS ISI 10),thermolite plus,thermolyte plus dos isi,thermolyte dos,thermolyte dos,6.0,2.0,4.0,66.7
Klik K24,MUSTIKA RATU SLIMMING TEA (1 dos isi 30 sachet),mustika ratu slimming tea,mustika ratu slimming tea dos isi sachet,mustika ratu slimming tea dos,mustika ratu slimming tea dos,9.0,5.0,4.0,44.4
Klik K24,T ORGANA SWEET TEA (isi 10 kantong teh),t organa sweet tea,t organa sweet tea isi kantong teh,organa sweet tea kantong teh,organa sweet tea kantong teh,8.0,5.0,3.0,37.5
Klik K24,T ORGANA SWEET TEA (isi 20 kantong teh),t organa sweet tea,t organa sweet tea isi kantong teh,organa sweet tea kantong teh,organa sweet tea kantong teh,8.0,5.0,3.0,37.5
Klik K24,FITAMINO COKLAT 30G SACH,fitamino coklat,fitamino coklat g sach,fitamino coklat sach,fitamino coklat sach,4.0,3.0,1.0,25.0
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 100 Sachet),tropicana slim diabetics,tropicana slim diabetics box isi sachet,tropicana slim diabetics,tropicana slim diabetics,8.0,3.0,5.0,62.5
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 50 Sachet),tropicana slim diabetics,tropicana slim diabetics box isi sachet,tropicana slim diabetics,tropicana slim diabetics,8.0,3.0,5.0,62.5
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 25 Sachet),tropicana slim diabetics,tropicana slim diabetics box isi sachet,tropicana slim diabetics,tropicana slim diabetics,8.0,3.0,5.0,62.5
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 25 Sachet),tropicana slim classic,tropicana slim classic dos isi sachet,tropicana slim classic dos,tropicana slim classic dos,8.0,4.0,4.0,50.0
