Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Makanan & Minuman Terpopuler,Gula murah. gula pasir,gula pasir,gula murah gula pasir,gula gula,gula gula,4.0,2.0,2.0,50.0
Shopee,Makanan & Minuman Terpopuler,MAKRONI BANTET ORIGINAL PEDAS EXTRA PEDas SEBLAK DINDAKU,makroni bantet pedas,makroni bantet original pedas extra pedas seblak dindaku,makroni bantet extra seblak dindaku,makroni bantet extra seblak dindaku,8.0,5.0,3.0,37.5
Shopee,Makanan & Minuman Terpopuler,Basreng Pedas Daun Jeruk/ Original / Balado 100 Gram,basreng pedas daun jeruk,basreng pedas daun jeruk original balado gram,basreng daun jeruk balado,basreng daun jeruk balado,9.0,4.0,5.0,55.6
Shopee,Makanan & Minuman Terpopuler,50gr Makaroni Bantet Cap Koki Tasikmalaya < Macaroni Kriwil Cap Koki < Makroni Cikruh Cap Koki < Macroni Kriuk Cap Koki,makaroni cap koki,gr makaroni bantet cap koki tasikmalaya macaroni kriwil cap koki makroni cikruh cap koki macroni kriuk cap koki,makaroni bantet cap koki tasikmalaya macaroni kriwil cap koki makroni cikruh cap koki macroni kriuk cap koki,makaroni bantet cap koki tasikmalaya macaroni kriwil cap koki makroni cikruh cap koki macroni kriuk cap koki,21.0,17.0,4.0,19.0
Shopee,Makanan & Minuman Terpopuler,ikan asin serba 5000 goceng. aneka ikan asin murah fresh,ikan asin goceng,ikan asin serba goceng aneka ikan asin murah fresh,ikan serba goceng aneka ikan fresh,ikan serba goceng aneka ikan fresh,10.0,6.0,4.0,40.0
Shopee,Makanan & Minuman Terpopuler,Varian indomie goreng / indomie ayam bawang / indomie ayam special / indomie goreng rendang,"indomie goreng rendang 
 indomie ayam bawang 
 indomie ayam special 
 indomie goreng",varian indomie goreng indomie ayam bawang indomie ayam special indomie goreng rendang,varian indomie goreng indomie ayam bawang indomie ayam special indomie goreng rendang,varian indomie goreng indomie ayam bawang indomie ayam special indomie goreng rendang,15.0,12.0,3.0,20.0
Shopee,Makanan & Minuman Terpopuler,Makaroni Bantet Cap Koki Asli Khas Tasikmalaya,makaroni bantet asli,makaroni bantet cap koki asli khas tasikmalaya,makaroni bantet cap koki tasikmalaya,makaroni bantet cap koki tasikmalaya,7.0,5.0,2.0,28.6
Shopee,Makanan & Minuman Terpopuler,Roti Tawar Bandung / Roti Tawar Kasino / Roti Bakar Bandung Supplier UMKM Roti Tawar,roti tawar bandung,roti tawar bandung roti tawar kasino roti bakar bandung supplier umkm roti tawar,roti tawar bandung roti tawar kasino roti bakar bandung supplier umkm roti tawar,roti tawar bandung roti tawar kasino roti bakar bandung supplier umkm roti tawar,15.0,13.0,2.0,13.3
Shopee,Makanan & Minuman Terpopuler,Makaroni Bantet Cap Koki Ecer Dan Grosir,makaroni bantet cap koki,makaroni bantet cap koki ecer dan grosir,makaroni bantet cap koki,makaroni bantet cap koki,7.0,4.0,3.0,42.9
Shopee,Makanan & Minuman Terpopuler,( Exp JAN 27)Kurma Sukari Gram ember / Kurma Sukkari Sukari Basah AlQasim,kurma sukari basah,exp jan kurma sukari gram ember kurma sukkari sukari basah alqasim,exp jan kurma sukari ember kurma sukkari sukari alqasim,exp jan kurma sukar ember kurma sukkari sukar alqasim,13.0,9.0,4.0,30.8
Shopee,Makanan & Minuman Terpopuler,MAKARONI BANTET/BANTAT khas TASIKMALAYA,makaroni bantet tasikmalaya,makaroni bantetbantat khas tasikmalaya,makaroni bantetbantat tasikmalaya,makaroni bantetbantat tasikmalaya,4.0,3.0,1.0,25.0
Shopee,Makanan & Minuman Terpopuler,PROMO 2 BUNGKUS SAMBEL CUMI PETE BALADO SAMBEL TANPA PENGAWET SERBA 20 GR,sambel cumi pete balado,promo bungkus sambel cumi pete balado sambel tanpa pengawet serba gr,bungkus sambel cumi pete balado sambel pengawet serba,bungkus sambel cumi pete balado sambel awet serba,13.0,8.0,5.0,38.5
Shopee,Makanan & Minuman Terpopuler,Mc Lewis Hot n Hot Chilli Sauce 900gr,mc lewis hot chilli sauce,mc lewis hot n hot chilli sauce gr,mc lewis hot hot chilli sauce,mc lewis hot hot chilli sauce,8.0,6.0,2.0,25.0
Shopee,Makanan & Minuman Terpopuler,Kopi Luwak white Coffe original 20g RENCENG ( ISI 10),kopi luwak white coffe,kopi luwak white coffe original g renceng isi,kopi luwak white coffe renceng,kopi luwak white coffe renceng,10.0,5.0,5.0,50.0
Shopee,Makanan & Minuman Terpopuler,KOPI KAPAL API SPECIAL MIX 25gr RENCENG ( ISI 10 ),kopi kapal api special mix,kopi kapal api special mix gr renceng isi,kopi kapal api special renceng,kopi kapal api special renceng,11.0,5.0,6.0,54.5
Shopee,Makanan & Minuman Terpopuler,BANTET DAUN JERUK - MAKARONI BANTET DAUN JERUK NO.1 DI TASIKMALAYA / BEST SELLER,makaroni bantet daun jeruk,bantet daun jeruk makaroni bantet daun jeruk no di tasikmalaya best seller,bantet daun jeruk makaroni bantet daun jeruk no tasikmalaya,bantet daun jeruk makaroni bantet daun jeruk no tasikmalaya,14.0,9.0,5.0,35.7
