Kategori,Nama Produk,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
AI & Productivity AI,ChatGPT Plus,chatgpt plus,chatgpt,chatgpt,2.0,1.0,1.0,50.0
AI & Productivity AI,Claude Pro,claude pro,claude pro,claude pro,2.0,2.0,0.0,0.0
AI & Productivity AI,Gemini Advanced,gemini advanced,gemini advanced,gemini advanced,2.0,2.0,0.0,0.0
AI & Productivity AI,Copilot Pro,copilot pro,copilot pro,copilot pro,2.0,2.0,0.0,0.0
AI & Productivity AI,Perplexity Pro,perplexity pro,perplexity pro,perplexity pro,2.0,2.0,0.0,0.0
AI & Productivity AI,Otter.ai,otterai,otterai,otterai,1.0,1.0,0.0,0.0
AI & Productivity AI,Grammarly Premium,grammarly premium,grammarly,grammarly,2.0,1.0,1.0,50.0
AI & Productivity AI,Jasper,jasper,jasper,jasper,1.0,1.0,0.0,0.0
AI & Productivity AI,Midjourney,midjourney,midjourney,midjourney,1.0,1.0,0.0,0.0
AI & Productivity AI,Notion AI,notion ai,notion ai,notion ai,2.0,2.0,0.0,0.0
AI & Productivity AI,DeepL,deepl,deepl,deepl,1.0,1.0,0.0,0.0
AI & Productivity AI,ChatGPT+,chatgpt,chatgpt,chatgpt,1.0,1.0,0.0,0.0
AI & Productivity AI,Claude AI,claude ai,claude ai,claude ai,2.0,2.0,0.0,0.0
AI & Productivity AI,Humata AI,humata ai,humata ai,humata ai,2.0,2.0,0.0,0.0
AI & Productivity AI,ZeroGPT,zerogpt,zerogpt,zerogpt,1.0,1.0,0.0,0.0
AI & Productivity AI,Chatpdf,chatpdf,chatpdf,chatpdf,1.0,1.0,0.0,0.0
AI & Productivity AI,Quillbot,quillbot,quillbot,quillbot,1.0,1.0,0.0,0.0
AI & Productivity AI,Grammarly,grammarly,grammarly,grammarly,1.0,1.0,0.0,0.0
AI & Productivity AI,Perplexity,perplexity,perplexity,perplexity,1.0,1.0,0.0,0.0
AI & Productivity AI,Blackbox AI,blackbox ai,blackbox ai,blackbox ai,2.0,2.0,0.0,0.0
AI & Productivity AI,Wordtune,wordtune,wordtune,wordtune,1.0,1.0,0.0,0.0
AI & Productivity AI,Gemini AI,gemini ai,gemini ai,gemini ai,2.0,2.0,0.0,0.0
AI & Productivity AI,Elicit.org Plus,elicitorg plus,elicitorg,elicitorg,2.0,1.0,1.0,50.0
AI & Productivity AI,Consensus,consensus,consensus,consensus,1.0,1.0,0.0,0.0
AI & Productivity AI,SciSpace (Typeset),scispace typeset,scispace typeset,scispace typeset,2.0,2.0,0.0,0.0
AI & Productivity AI,ResearchRabbit,researchrabbit,researchrabbit,researchrabbit,1.0,1.0,0.0,0.0
AI & Productivity AI,Hugging Face Pro,hugging face pro,hugging face pro,hugging face pro,3.0,3.0,0.0,0.0
AI & Productivity AI,Replit Core,replit core,replit core,replit core,2.0,2.0,0.0,0.0
AI & Productivity AI,Raycast Pro,raycast pro,raycast pro,raycast pro,2.0,2.0,0.0,0.0
AI & Productivity AI,Kagi Search,kagi search,kagi search,kagi search,2.0,2.0,0.0,0.0
AI & Productivity AI,Exa.ai,exaai,exaai,exaai,1.0,1.0,0.0,0.0
AI & Productivity AI,Gamma.app,gammaapp,gammaapp,gammaapp,1.0,1.0,0.0,0.0
AI & Productivity AI,Pitch,pitch,pitch,pitch,1.0,1.0,0.0,0.0
AI & Productivity AI,Craft,craft,craft,craft,1.0,1.0,0.0,0.0
AI & Productivity AI,Superhuman,superhuman,superhuman,superhuman,1.0,1.0,0.0,0.0
AI & Productivity AI,Hex.tech,hextech,hextech,hextech,1.0,1.0,0.0,0.0
AI & Productivity AI,Deepnote,deepnote,deepnote,deepnote,1.0,1.0,0.0,0.0
AI & Productivity AI,Exploratory.io,exploratoryio,exploratoryio,exploratoryio,1.0,1.0,0.0,0.0
AI & Productivity AI,Snipd,snipd,snipd,snipd,1.0,1.0,0.0,0.0
AI & Productivity AI,Shortform,shortform,shortform,shortform,1.0,1.0,0.0,0.0
AI & Productivity AI,Refind,refind,refind,refind,1.0,1.0,0.0,0.0
AI & Productivity AI,Langua,langua,langua,langua,1.0,1.0,0.0,0.0
AI & Productivity AI,Speak,speak,speak,speak,1.0,1.0,0.0,0.0
AI & Productivity AI,ELSA Speak,elsa speak,elsa speak,elsa speak,2.0,2.0,0.0,0.0
AI & Productivity AI,TalkPal,talkpal,talkpal,talkpal,1.0,1.0,0.0,0.0
AI & Productivity AI,Praktika,praktika,praktika,praktika,1.0,1.0,0.0,0.0
AI & Productivity AI,Scholarcy,scholarcy,scholarcy,scholarcy,1.0,1.0,0.0,0.0
AI & Productivity AI,Scrintal,scrintal,scrintal,scrintal,1.0,1.0,0.0,0.0
AI & Productivity AI,Tana,tana,tana,tana,1.0,1.0,0.0,0.0
AI & Productivity AI,Readwise Reader,readwise reader,readwise reader,readwise reader,2.0,2.0,0.0,0.0
AI & Productivity AI,Manus AI,manus ai,manus ai,manus ai,2.0,2.0,0.0,0.0
Kreativitas & Desain,Canva Pro,canva pro,canva pro,canva pro,2.0,2.0,0.0,0.0
Kreativitas & Desain,Canva Teams,canva teams,canva teams,canva teams,2.0,2.0,0.0,0.0
Kreativitas & Desain,Canva,canva,canva,canva,1.0,1.0,0.0,0.0
Kreativitas & Desain,Adobe Photoshop,adobe photoshop,adobe photoshop,adobe photoshop,2.0,2.0,0.0,0.0
Kreativitas & Desain,Adobe Lightroom,adobe lightroom,adobe lightroom,adobe lightroom,2.0,2.0,0.0,0.0
Kreativitas & Desain,Adobe Premiere Rush,adobe premiere rush,adobe premiere rush,adobe premiere rush,3.0,3.0,0.0,0.0
Kreativitas & Desain,Adobe Express,adobe express,adobe express,adobe express,2.0,2.0,0.0,0.0
Kreativitas & Desain,Adobe Fresco,adobe fresco,adobe fresco,adobe fresco,2.0,2.0,0.0,0.0
Kreativitas & Desain,VSCO,vsco,vsco,vsco,1.0,1.0,0.0,0.0
Kreativitas & Desain,VSCO X,vsco x,vsco,vsco,2.0,1.0,1.0,50.0
Kreativitas & Desain,Darkroom,darkroom,darkroom,darkroom,1.0,1.0,0.0,0.0
Kreativitas & Desain,Unfold,unfold,unfold,unfold,1.0,1.0,0.0,0.0
Kreativitas & Desain,Over,over,over,over,1.0,1.0,0.0,0.0
Kreativitas & Desain,Halide Mark II,halide mark ii,halide mark ii,halide mark ii,3.0,3.0,0.0,0.0
Kreativitas & Desain,Moment Pro,moment pro,moment pro,moment pro,2.0,2.0,0.0,0.0
Kreativitas & Desain,FiLMiC Pro,filmic pro,filmic pro,filmic pro,2.0,2.0,0.0,0.0
Kreativitas & Desain,Picsart Gold,picsart gold,picsart gold,picsart gold,2.0,2.0,0.0,0.0
Kreativitas & Desain,Picsart,picsart,picsart,picsart,1.0,1.0,0.0,0.0
Kreativitas & Desain,Photoroom,photoroom,photoroom,photoroom,1.0,1.0,0.0,0.0
Kreativitas & Desain,Unfolder,unfolder,unfolder,unfolder,1.0,1.0,0.0,0.0
Kreativitas & Desain,Motionleap,motionleap,motionleap,motionleap,1.0,1.0,0.0,0.0
