Source,Kategori,Nama Produk,Extracted,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
Shopee,Token Listrik,Token Listrik PLN Prabayar 5rb–50rb | Proses Cepat 24 Jam | Resmi & Aman,token listrik,token listrik pln prabayar rb–rb proses cepat jam resmi aman,token listrik pln prabayar rb–rb proses jam,token listrik pln prabayar rb rb proses jam,14.0,8.0,6.0,42.9
Shopee,Token Listrik,diskon token listrik token listrik murah,token listrik,diskon token listrik token listrik murah,token listrik token listrik,token listrik token listrik,6.0,4.0,2.0,33.3
Shopee,Token Listrik,TOKEN LISTRIK TERMURAH SE-INDONESIA DAN RESMI,token listrik,token listrik termurah seindonesia dan resmi,token listrik seindonesia,token listrik indonesia,6.0,3.0,3.0,50.0
Shopee,Token Listrik,TOKEN PLN - TOKEN PLN PROMO - PLN TOKEN PROMO - PLN TOKEN - TOKEN PLN 5K - TOKEN PLN 5 RIBU - TOKEN PLN 10K - TOKEN PLN 10 RIBU - TOKEN PLN 15K - TOKEN PLN 15 RIBU - TOKEN PLN 20K - TOKEN PLN 20 RIBU,token listrik,token pln token pln promo pln token promo pln token token pln k token pln ribu token pln k token pln ribu token pln k token pln ribu token pln k token pln ribu,token pln token pln pln token pln token token pln token pln ribu token pln token pln ribu token pln token pln ribu token pln token pln ribu,token pln token pln pln token pln token token pln token pln ribu token pln token pln ribu token pln token pln ribu token pln token pln ribu,49.0,28.0,21.0,42.9
Shopee,Token Listrik,Promo Token Listrik 5k 10k 15k 20k 20ribu,token listrik,promo token listrik k k k k ribu,token listrik ribu,token listrik ribu,8.0,3.0,5.0,62.5
Shopee,Token Listrik,Token Listrik PLN Nominal 100.000 murah!,token listrik,token listrik pln nominal murah,token listrik pln,token listrik pln,6.0,3.0,3.0,50.0
Shopee,Token Listrik,Token PLN 5k-25k Proses cepat - TOKEN 5K - TOKEN 10K - TOKEN 15K - TOKEN 20K - TOKEN 25K,token listrik,token pln kk proses cepat token k token k token k token k token k,token pln kk proses token token token token token,token pln kk proses token token token token token,20.0,9.0,11.0,55.0
Shopee,Token Listrik,PLN LISTRIK ISI ULANG TOKEN PLN 20RB,token listrik,pln listrik isi ulang token pln rb,pln listrik ulang token pln rb,pln listrik ulang token pln rb,7.0,6.0,1.0,14.3
Shopee,Token Listrik,Token Listrik Mini Pintar Murah 5000-20000,token listrik,token listrik mini pintar murah,token listrik,token listrik,6.0,2.0,4.0,66.7
Shopee,Token Listrik,TERMURAH!!! TOKEN PLN | TOKEN LISTRIK | PULSA LISTRIK MURAH 20K 50K 100K,token listrik,termurah token pln token listrik pulsa listrik murah k k k,token pln token listrik pulsa listrik,token pln token listrik pulsa listrik,13.0,6.0,7.0,53.8
Shopee,Token Listrik,"Token Listrik Nominal Kecil 5k,10k,15k,20k,50K Proses Cepat",token listrik,token listrik nominal kecil kkkkk proses cepat,token listrik kkkkk proses,token listrik kkkkk proses,7.0,4.0,3.0,42.9
Shopee,Token Listrik,"Token Listrik Murah 5,10,15 Untuk Pembelian Online",token listrik,token listrik murah untuk pembelian online,token listrik pembelian,token listrik beli,7.0,3.0,4.0,57.1
Shopee,Token Listrik,"Token Listrik PLN Termurah 20k, 25k, 50k Promo",token listrik,token listrik pln termurah k k k promo,token listrik pln,token listrik pln,8.0,3.0,5.0,62.5
Shopee,Token Listrik,Token Listrik PLN 5k 10k 15k 20k,token listrik,token listrik pln k k k k,token listrik pln,token listrik pln,7.0,3.0,4.0,57.1
Shopee,Token Listrik,Token listrik,token listrik,token listrik,token listrik,token listrik,2.0,2.0,0.0,0.0
