Kategori,Nama Produk,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
BBM,Pertalite,pertalite,pertalite,pertalite,1.0,1.0,0.0,0.0
BBM,Bensin,bensin,bensin,bensin,1.0,1.0,0.0,0.0
BBM,Pertamax,pertamax,pertamax,pertamax,1.0,1.0,0.0,0.0
BBM,Pertamax Turbo,pertamax turbo,pertamax turbo,pertamax turbo,2.0,2.0,0.0,0.0
BBM,Dexlite,dexlite,dexlite,dexlite,1.0,1.0,0.0,0.0
BBM,Pertamina Dex,pertamina dex,pertamina dex,pertamina dex,2.0,2.0,0.0,0.0
BBM,Solar,solar,,,1.0,0.0,1.0,100.0
BBM,Shell Super,shell super,shell,shell,2.0,1.0,1.0,50.0
BBM,Shell V-Power,shell vpower,shell vpower,shell vpower,2.0,2.0,0.0,0.0
BBM,Shell V-Power Nitro+,shell vpower nitro,shell vpower nitro,shell vpower nitro,3.0,3.0,0.0,0.0
BBM,Shell V-Power Diesel,shell vpower diesel,shell vpower diesel,shell vpower diesel,3.0,3.0,0.0,0.0
BBM,BP 90,bp,bp,bp,2.0,1.0,1.0,50.0
BBM,BP 92,bp,bp,bp,2.0,1.0,1.0,50.0
BBM,BP Ultimate,bp ultimate,bp ultimate,bp ultimate,2.0,2.0,0.0,0.0
BBM,BP Diesel,bp diesel,bp diesel,bp diesel,2.0,2.0,0.0,0.0
BBM,Revvo 89,revvo,revvo,revvo,2.0,1.0,1.0,50.0
BBM,Revvo 90,revvo,revvo,revvo,2.0,1.0,1.0,50.0
BBM,Revvo 92,revvo,revvo,revvo,2.0,1.0,1.0,50.0
BBM,Diesel Primus,diesel primus,diesel primus,diesel primus,2.0,2.0,0.0,0.0
BBM,Bio Solar,bio solar,bio,bio,2.0,1.0,1.0,50.0
BBM,Pertamax Green 95,pertamax green,pertamax green,pertamax green,3.0,2.0,1.0,33.3
BBM,Bioetanol Blend,bioetanol blend,bioetanol blend,bioetanol blend,2.0,2.0,0.0,0.0
BBM,Premium (RON 88),premium ron,ron,ron,3.0,1.0,2.0,66.7
Parkir,Parkir Motor,parkir motor,parkir motor,parkir motor,2.0,2.0,0.0,0.0
Parkir,Parkir Mobil,parkir mobil,parkir,parkir,2.0,1.0,1.0,50.0
Parkir,Parkir Bus,parkir bus,parkir bus,parkir bus,2.0,2.0,0.0,0.0
Parkir,Parkir Truk,parkir truk,parkir truk,parkir truk,2.0,2.0,0.0,0.0
Parkir,Parkir Sepeda,parkir sepeda,parkir sepeda,parkir sepeda,2.0,2.0,0.0,0.0
Parkir,Parkir Kampus,parkir kampus,parkir kampus,parkir kampus,2.0,2.0,0.0,0.0
