Nama Produk,label,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
PROMO TERBARU JEANS PRIA PANJANG NAOMI SOFT JEANS LEMBUT DAN STREECT/MELAR BISA COD 27-32,Entertainment,promo terbaru jeans pria panjang naomi soft jeans lembut dan streectmelar bisa cod,jeans naomi soft jeans streectmelar,jeans naomi soft jeans streectmelar,14.0,5.0,9.0,64.3
Denim Celana Jeans Pria Celana Reguler Fit Pria Jeans Cowok Dewasa Jeans Jumbo Korean Style Straight Pants Hitam Biru Premium Kekinian Panjang Celana Longgar,Entertainment,denim celana jeans pria celana reguler fit pria jeans cowok dewasa jeans jumbo korean style straight pants hitam biru premium kekinian panjang celana longgar,denim celana jeans celana jeans jeans korean style straight pants kekinian celana,denim celana jeans celana jeans jeans korean style straight pants kini celana,24.0,12.0,12.0,50.0
celana jeans pria panjang skinny stretch jins hitam abu pensil slimfit cowok celana denim dewasa casual korean style,Entertainment,celana jeans pria panjang skinny stretch jins hitam abu pensil slimfit cowok celana denim dewasa casual korean style,celana jeans skinny stretch jins abu pensil slimfit celana denim casual korean style,celana jeans skinny stretch jins abu pensil slimfit celana denim casual korean style,18.0,13.0,5.0,27.8
Celana jeans pria panjang baggy pants straight celana denim dewasa kulot loose fit jumbo cowok korean style,Entertainment,celana jeans pria panjang baggy pants straight celana denim dewasa kulot loose fit jumbo cowok korean style,celana jeans baggy pants straight celana denim kulot loose korean style,celana jeans baggy pants straight celana denim kulot loose korean style,17.0,11.0,6.0,35.3
M231 Celana Panjang Jeans Denim Pria Bleach C1164,Entertainment,m celana panjang jeans denim pria bleach c,celana jeans denim bleach,celana jeans denim bleach,8.0,4.0,4.0,50.0
NANGKON - Celana Jeans Pria Bahan Melar Pensil Cowok Hitam Panjang Pria Slim Fit NANGKON Premium,Entertainment,nangkon celana jeans pria bahan melar pensil cowok hitam panjang pria slim fit nangkon premium,nangkon celana jeans pensil slim nangkon,nangkon celana jeans pensil slim nangkon,16.0,6.0,10.0,62.5
Celana Jeans Jumbo Pria Big Size Bahan Halus,Entertainment,celana jeans jumbo pria big size bahan halus,celana jeans big,celana jeans big,8.0,3.0,5.0,62.5
Celana Jeans Pria celana jeans pria Celana panjang pria jeans pria celana korean style pria baggy jeans pria celana jeans pria panjang celana kulot denim pria fashion jeans baggy jeans pria jumbo,Entertainment,celana jeans pria celana jeans pria celana panjang pria jeans pria celana korean style pria baggy jeans pria celana jeans pria panjang celana kulot denim pria fashion jeans baggy jeans pria jumbo,celana jeans celana jeans celana jeans celana korean style baggy jeans celana jeans celana kulot denim jeans baggy jeans,celana jeans celana jeans celana jeans celana korean style baggy jeans celana jeans celana kulot denim jeans baggy jeans,32.0,19.0,13.0,40.6
CELANA JEANS PRIA PULL&BEAR SKINNY FIT STRETCH PENSIL SOFT JEANS,Entertainment,celana jeans pria pullbear skinny fit stretch pensil soft jeans,celana jeans pullbear skinny stretch pensil soft jeans,celana jeans pullbear skinny stretch pensil soft jeans,10.0,8.0,2.0,20.0
promo cuci gudang Celana panjang jeans pria lois terlaris termurah bisa bayar ditempat [ COD ],Entertainment,promo cuci gudang celana panjang jeans pria lois terlaris termurah bisa bayar ditempat cod,celana jeans lois,celana jeans lois,16.0,3.0,13.0,81.2
PREMIUM - Celana Jeans Pria Denim Pensil Cowok Hitam Celana Jeans Panjang Pria Slim Fit Premium,Entertainment,premium celana jeans pria denim pensil cowok hitam celana jeans panjang pria slim fit premium,celana jeans denim pensil celana jeans slim,celana jeans denim pensil celana jeans slim,16.0,7.0,9.0,56.2
CELANA JEANS PRIA PANJANG DISTRO SOBEK-SOBEK || CELANA SETRET BLACK VIPER ORIGINAL TERLARIS,Entertainment,celana jeans pria panjang distro sobeksobek celana setret black viper original terlaris,celana jeans sobeksobek celana setret black viper,celana jeans sobeksobek celana setret black viper,13.0,7.0,6.0,46.2
Celana jeans pria loose straight korean style oversize Longgar jeans biru baggy pants celana kulot panjang jeans,Entertainment,celana jeans pria loose straight korean style oversize longgar jeans biru baggy pants celana kulot panjang jeans,celana jeans loose straight korean style oversize jeans baggy pants celana kulot jeans,celana jeans loose straight korean style oversize jeans baggy pants celana kulot jeans,17.0,13.0,4.0,23.5
KBCollections Celana Panjang Jeans Hitam Pria Sobek Lutut Skinny Ripped Jeans Robek dan Polos,Entertainment,kbcollections celana panjang jeans hitam pria sobek lutut skinny ripped jeans robek dan polos,kbcollections celana jeans sobek lutut skinny ripped jeans,kbcollections celana jeans sobek lutut skinny ripped jeans,14.0,8.0,6.0,42.9
Celana jeans pria hitam abu slimfit stretch jins skinny pensil panjang cowok celana denim dewasa laki laki jens grey casual korean style,Entertainment,celana jeans pria hitam abu slimfit stretch jins skinny pensil panjang cowok celana denim dewasa laki laki jens grey casual korean style,celana jeans abu slimfit stretch jins skinny pensil celana denim jens grey casual korean style,celana jeans abu slimfit stretch jins skinny pensil celana denim jens grey casual korean style,22.0,15.0,7.0,31.8
Celana jeans panjang pria Celana kulot jeans pinggang karet Korean style pria loose pants jeans Celana jeans gombrong,Entertainment,celana jeans panjang pria celana kulot jeans pinggang karet korean style pria loose pants jeans celana jeans gombrong,celana jeans celana kulot jeans pinggang korean style loose pants jeans celana jeans gombrong,celana jeans celana kulot jeans pinggang korean style loose pants jeans celana jeans gombrong,18.0,14.0,4.0,22.2
Celana Jeans Skinny Slimfit Strech/Celana Jeans Pria Sobek/Celana Jeans Pria Panjang/Celana Jeans Pria Slimfit/Celana Jeans Pria/Celana Jeans Jumbo/Celana Jumbo Pria,Entertainment,celana jeans skinny slimfit strechcelana jeans pria sobekcelana jeans pria panjangcelana jeans pria slimfitcelana jeans priacelana jeans jumbocelana jumbo pria,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans priacelana jeans jumbocelana,celana jeans skinny slimfit strechcelana jeans sobekcelana jeans panjangcelana jeans slimfitcelana jeans priacelana jeans jumbocelana,20.0,15.0,5.0,25.0
