Nama Produk,label,text_cleaned,text_stopwords_removed,clean_text,token_awal,token_akhir,reduksi,persen_%
"Wisata Batas Kampung sejuk alami Surabaya ""GRATIS""",Entertainment,wisata batas kampung sejuk alami surabaya gratis,wisata batas surabaya,wisata batas surabaya,7.0,3.0,4.0,57.1
Taman Pelangi,Entertainment,taman pelangi,pelangi,pelangi,2.0,1.0,1.0,50.0
Kampoeng Lawas Maspati,Entertainment,kampoeng lawas maspati,kampoeng lawas maspati,kampoeng lawas maspati,3.0,3.0,0.0,0.0
Bungkul Park,Entertainment,bungkul park,bungkul park,bungkul park,2.0,2.0,0.0,0.0
Bamboo Forest Keputih Surabaya,Entertainment,bamboo forest keputih surabaya,bamboo forest keputih surabaya,bamboo forest putih surabaya,4.0,4.0,0.0,0.0
Taman Air Mancur Menari Kenjeran,Entertainment,taman air mancur menari kenjeran,air mancur menari kenjeran,air mancur tari kenjeran,5.0,4.0,1.0,20.0
Unesa Lake,Entertainment,unesa lake,unesa lake,unesa lake,2.0,2.0,0.0,0.0
Tunjungan Romansa,Entertainment,tunjungan romansa,tunjungan romansa,tunjung romansa,2.0,2.0,0.0,0.0
Suroboyo Park,Entertainment,suroboyo park,suroboyo park,suroboyo park,2.0,2.0,0.0,0.0
Kunang Kunang Park,Entertainment,kunang kunang park,kunang kunang park,nang nang park,3.0,3.0,0.0,0.0
Adventure Land Romokalisari,Entertainment,adventure land romokalisari,adventure land romokalisari,adventure land romokalisari,3.0,3.0,0.0,0.0
Surabaya Zoo,Entertainment,surabaya zoo,surabaya zoo,surabaya zoo,2.0,2.0,0.0,0.0
Mangrove Wonorejo Ecotourism,Entertainment,mangrove wonorejo ecotourism,mangrove wonorejo ecotourism,mangrove wonorejo ecotourism,3.0,3.0,0.0,0.0
Hutan Kota Balas Klumprik,Entertainment,hutan kota balas klumprik,hutan kota balas klumprik,hutan kota balas klumprik,4.0,4.0,0.0,0.0
Kota Tua Surabaya,Entertainment,kota tua surabaya,kota surabaya,kota surabaya,3.0,2.0,1.0,33.3
