Source,Nama Produk,Extracted
Klik K24,GLUCOPHAGE XR 500MG TABLET,glucophage xr
Klik K24,METFORMIN GEN DEXA 500MG TABLET,metformin
Klik K24,GLUCOPHAGE 500MG TABLET,glucophage
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 25),thermolyte diet sugar
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 50),thermolite diet sugar
Klik K24,NUTRISALIN GARAM DIET 200G,nutrisalin garam
Klik K24,THERMOLYTE PLUS (1 DOS ISI 60),thermolite plus
Klik K24,THERMOLYTE PLUS (1 DOS ISI 30),thermolite plus
Klik K24,THERMOLYTE PLUS (1 DOS ISI 10),thermolite plus
Klik K24,MUSTIKA RATU SLIMMING TEA (1 dos isi 30 sachet),mustika ratu slimming tea
Klik K24,T ORGANA SWEET TEA (isi 10 kantong teh),t organa sweet tea
Klik K24,T ORGANA SWEET TEA (isi 20 kantong teh),t organa sweet tea
Klik K24,FITAMINO COKLAT 30G SACH,fitamino coklat
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 100 Sachet),tropicana slim diabetics
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 50 Sachet),tropicana slim diabetics
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 25 Sachet),tropicana slim diabetics
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 25 Sachet),tropicana slim classic
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 50 Sachet),tropicana slim classic
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 100 Sachet),tropicana slim classic
Klik K24,TROPICANA SLIM SWEETENER STEVIA (1 Box isi 50 Sachet),tropicana stevia
Klik K24,FLIMEAL 50G SACH 12S,flimeal
Klik K24,JARDIANCE 25MG FC TABLET,jardiance
Klik K24,NUTRICAN MILK JERUK 245G,nutrican milk jeruk
Klik K24,GLIBENCLAMIDE INDOFARMA 5MG TABLET,glibenclamide
Klik K24,GALVUS 50MG TABLET,galvus
Klik K24,METRIX 3MG TABLET,metrix
Klik K24,STATOR 20MG TABLET,stator
Klik K24,ROSUFER 10MG TAB 30S,rosufer
Klik K24,ROSUFER 20MG TAB 30S,rosufer
Klik K24,GLUVAS 2MG TABLET,gluvas
Klik K24,GLUVAS 4MG TABLET,gluvas
Klik K24,GLIMEPIRIDE DEXA 1MG TABLET (1 Dos isi 5 Strip @10 Tablet),glimepiride dexametason
Klik K24,GLIMEPIRIDE DEXA 2MG TABLET (1 Dos isi 50 Tablet),glimepiride dexametason
Klik K24,GLIMEPIRIDE DEXA 2MG TABLET (1 Dos isi 50 Tablet),glimepiride dexametason
Klik K24,RHINOS SR KAPSUL,rhinos sr
Klik K24,TREMENZA TABLET,tremenza
Klik K24,AMOXICILLIN HEXPHARM 500MG KAPLET (1 Dos isi 20 Strip @10 Tablet),amoxicillin hexpharm
Klik K24,SAGESTAM TETES MATA/ TETES TELINGA,sagestam tetes mata
Klik K24,ACLAM 500MG TABLET,aclam
Klik K24,OTOPAIN TETES TELINGA 8ML,otopain tetes telinga
Klik K24,OTILON TETES TELINGA 8ML,otilon tetes telinga
Klik K24,FORUMEN TETES TELINGA 10ML,forumen tetes telinga
