Source,Nama Produk
Klik K24,GLUCOPHAGE XR 500MG TABLET
Klik K24,METFORMIN GEN DEXA 500MG TABLET
Klik K24,GLUCOPHAGE 500MG TABLET
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 25)
Klik K24,THERMOLYTE DIET SUGAR (1 Dos isi 50)
Klik K24,NUTRISALIN GARAM DIET 200G
Klik K24,THERMOLYTE PLUS (1 DOS ISI 60)
Klik K24,THERMOLYTE PLUS (1 DOS ISI 30)
Klik K24,THERMOLYTE PLUS (1 DOS ISI 10)
Klik K24,MUSTIKA RATU SLIMMING TEA (1 dos isi 30 sachet)
Klik K24,T ORGANA SWEET TEA (isi 10 kantong teh)
Klik K24,T ORGANA SWEET TEA (isi 20 kantong teh)
Klik K24,FITAMINO COKLAT 30G SACH
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 100 Sachet)
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 50 Sachet)
Klik K24,TROPICANA SLIM DIABETICS (1 Box isi 25 Sachet)
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 25 Sachet)
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 50 Sachet)
Klik K24,TROPICANA SLIM CLASSIC (1 Dos isi 100 Sachet)
Klik K24,TROPICANA SLIM SWEETENER STEVIA (1 Box isi 50 Sachet)
Klik K24,FLIMEAL 50G SACH 12S
Klik K24,JARDIANCE 25MG FC TABLET
Klik K24,NUTRICAN MILK JERUK 245G
Klik K24,GLIBENCLAMIDE INDOFARMA 5MG TABLET
Klik K24,GALVUS 50MG TABLET
Klik K24,METRIX 3MG TABLET
Klik K24,STATOR 20MG TABLET
Klik K24,ROSUFER 10MG TAB 30S
Klik K24,ROSUFER 20MG TAB 30S
Klik K24,GLUVAS 2MG TABLET
Klik K24,GLUVAS 4MG TABLET
Klik K24,GLIMEPIRIDE DEXA 1MG TABLET (1 Dos isi 5 Strip @10 Tablet)
