Saham	Nama Perusahaan	Bidang Usaha Utama	Sektor	Subsektor	Industri	Subindustri	Didirikan	Kantor Pusat
AADI	PT Adaro Andalan Indonesia Tbk	"Perkebunan kelapa sawit, karet dan tanaman penghasil getah lain, perusahaan holding, dan konsultasi manajemen lainnya"	Energi	"Minyak, Gas & Batu Bara"	Batu Bara	Produksi Batu Bara	1 December 2004	"Jakarta Selatan, Indonesia"
ADMR	PT Alamtri Minerals Indonesia Tbk	Pertambangan	Energi	"Minyak, Gas & Batu Bara"	Batu Bara	Produksi Batu Bara	25 September 2007	"Jakarta, Indonesia"
ADRO	Alamtri Resources Indonesia Tbk	"Aktivitas perusahaan holding dan konsultasi manajemen lainnya (untuk kegiatan usaha anak-anak perusahaan Perseroan yang bergerak di bidang pertambangan, penggalian, jasa penunjang pertambangan, perdagangan besar, angkutan, pergudangan dan aktivitas penunjang angkutan, penanganan kargo (bongkar muat barang), aktivitas pelayanan kepelabuhanan laut, pertanian tanaman, konstruksi, reparasi dan pemasangan mesin, pengadaan listrik, pengelolaan air, kehutanan, industri)"	Energi	"Minyak, Gas & Batu Bara"	Batu Bara	Produksi Batu Bara	26 August 2004	"Jakarta, Indonesia"
AKRA	PT AKR Corporindo Tbk.	Perdagangan dan Distribusi BBM dan Bahan Kimia Dasar	Energi	"Minyak, Gas & Batu Bara"	Minyak & Gas	Penyimpanan & Distribusi Minyak & Gas	28 November 1977	"Jakarta, Indonesia"
AMMN	PT Amman Mineral Internasional Tbk.	Aktivitas Perusahaan Holding	Barang Baku	Barang Baku	Logam & Mineral	Tembaga	29 September 2015	"Jakarta Selatan, Indonesia"
AMRT	PT Sumber Alfaria Trijaya Tbk.	Retail Trade	Barang Konsumen Primer	Perdagangan Ritel Barang Primer	Perdagangan Ritel Barang Primer	Supermarket	22 February 1989	"Tangerang, Banten, Indonesia"
ANTM	Aneka Tambang Tbk.	Metal and Mineral Mining	Barang Baku	Barang Baku	Logam & Mineral	Logam & Mineral Lainnya	5 July 1968	"Jakarta Selatan, Indonesia"
ASII	Astra International Tbk	Perdagangan Umum	Perindustrian	Perusahaan Holding Multi Sektor	Perusahaan Holding Multi Sektor	Perusahaan Holding Multi Sektor	20 February 1957	"Jakarta, Indonesia"
BBCA	PT Bank Central Asia Tbk.	Jasa Perbankan	Keuangan	Bank	Bank	Bank	21 February 1957	"Jakarta Pusat, Indonesia"
BBNI	PT Bank Negara Indonesia (Persero) Tbk	Perbankan & Kegiatan Usaha Penunjang Lainnya	Keuangan	Bank	Bank	Bank	5 July 1946	"Jakarta, Indonesia"
BBRI	PT Bank Rakyat Indonesia (Persero) Tbk	Jasa Perbankan	Keuangan	Bank	Bank	Bank	16 December 1895	"Jakarta Pusat, Indonesia"
BBTN	PT Bank Tabungan Negara (Persero) Tbk	Bergerak Dalam Bidang Usaha Perbankan	Keuangan	Bank	Bank	Bank	16 October 1897	"Jakarta Pusat, Indonesia"
BMRI	PT Bank Mandiri (Persero) Tbk	Jasa Keuangan - Perbankan	Keuangan	Bank	Bank	Bank	2 October 1998	"Jakarta Selatan, Indonesia"
BRPT	Barito Pacific Tbk	"Industri, properti, perdagangan, energi terbarukan, kehutanan, perkebunan, pertambangan, transportasi, dan aktivitas perusahaan holding"	Barang Baku	Barang Baku	Barang Kimia	Barang Kimia Dasar	4 April 1979	"Jakarta Barat, Indonesia"
BUMI	Bumi Resources Tbk	Perusahaan induk pertambangan	Energi	"Minyak, Gas & Batu Bara"	Batu Bara	Produksi Batu Bara	26 June 1973	"Jakarta, Indonesia"
CPIN	Charoen Pokphand Indonesia Tbk	Animal Feed	Barang Konsumen Primer	Makanan & Minuman	Produk Makanan Pertanian	"Ikan, Daging & Produk Unggas"	7 January 1972	"Jakarta Utara, Indonesia"
CUAN	PT Petrindo Jaya Kreasi Tbk	"Aktivitas Perusahaan Holding, Jasa Konsultasi Manajemen, dan Pertambangan Batu Bara melalui Perusahaan Anak"	Energi	"Minyak, Gas & Batu Bara"	Batu Bara	Produksi Batu Bara	4 August 2008	"Jakarta Barat, Indonesia"
DEWA	Darma Henwa Tbk	Jasa Pertambangan	Energi	"Minyak, Gas & Batu Bara"	"Pendukung Minyak, Gas & Batu Bara"	"Jasa & Perlengkapan Minyak, Gas & Batu Bara"	8 October 1991	"Jakarta, Indonesia"
EMTK	Elang Mahkota Teknologi Tbk	Jasa dan Perdagangan	Teknologi	Perangkat Lunak & Jasa TI	Aplikasi & Jasa Internet	Aplikasi & Jasa Internet	3 August 1983	"Jakarta, Indonesia"
ESSA	ESSA Industries Indonesia Tbk	Berusaha dalam bidang usaha industri pemurnian dan pengolahan gas bumi	Barang Baku	Barang Baku	Barang Kimia	Barang Kimia Dasar	24 March 2006	"Jakarta, Indonesia"
EXCL	PT XLSMART Telecom Sejahtera Tbk	Penyelenggaraan jasa telekomunikasi dan/atau jaringan telekomunikasi dan/atau multimedia	Infrastruktur	Telekomunikasi	Jasa Telekomunikasi Nirkabel	Jasa Telekomunikasi Nirkabel	6 October 1989	"Jakarta, Indonesia"
