Kategori,Nama Produk,text_cleaned,text_stopwords_removed
BBM,Pertalite,pertalite,pertalite
BBM,Bensin,bensin,bensin
BBM,Pertamax,pertamax,pertamax
BBM,Pertamax Turbo,pertamax turbo,pertamax turbo
BBM,Dexlite,dexlite,dexlite
BBM,Pertamina Dex,pertamina dex,pertamina dex
BBM,Solar,solar,
BBM,Shell Super,shell super,shell
BBM,Shell V-Power,shell vpower,shell vpower
BBM,Shell V-Power Nitro+,shell vpower nitro,shell vpower nitro
BBM,Shell V-Power Diesel,shell vpower diesel,shell vpower diesel
BBM,BP 90,bp,bp
BBM,BP 92,bp,bp
BBM,BP Ultimate,bp ultimate,bp ultimate
BBM,BP Diesel,bp diesel,bp diesel
BBM,Revvo 89,revvo,revvo
BBM,Revvo 90,revvo,revvo
BBM,Revvo 92,revvo,revvo
BBM,Diesel Primus,diesel primus,diesel primus
BBM,Bio Solar,bio solar,bio
BBM,Pertamax Green 95,pertamax green,pertamax green
BBM,Bioetanol Blend,bioetanol blend,bioetanol blend
BBM,Premium (RON 88),premium ron,ron
Parkir,Parkir Motor,parkir motor,parkir motor
Parkir,Parkir Mobil,parkir mobil,parkir
Parkir,Parkir Bus,parkir bus,parkir bus
Parkir,Parkir Truk,parkir truk,parkir truk
Parkir,Parkir Sepeda,parkir sepeda,parkir sepeda
Parkir,Parkir Kampus,parkir kampus,parkir kampus
Parkir,Parkir Sekolah,parkir sekolah,parkir sekolah
Parkir,Parkir Kantor,parkir kantor,parkir kantor
Parkir,Parkir Mall,parkir mall,parkir mall
Parkir,Parkir Pasar,parkir pasar,parkir
Parkir,Parkir Rumah Sakit,parkir rumah sakit,parkir rumah
Parkir,Parkir Hotel,parkir hotel,parkir hotel
Parkir,Parkir Restoran,parkir restoran,parkir restoran
Parkir,Parkir Apartemen,parkir apartemen,parkir apartemen
Parkir,Parkir Perumahan,parkir perumahan,parkir perumahan
Parkir,Parkir Stadion,parkir stadion,parkir stadion
Parkir,Parkir Bandara,parkir bandara,parkir bandara
Parkir,Parkir Stasiun,parkir stasiun,parkir stasiun
Parkir,Parkir Terminal,parkir terminal,parkir terminal
Parkir,Parkir Pelabuhan,parkir pelabuhan,parkir pelabuhan
Parkir,Parkir Tempat Wisata,parkir tempat wisata,parkir wisata
Parkir,Parkir Gedung,parkir gedung,parkir gedung
Parkir,Parkir Basement,parkir basement,parkir basement
Parkir,Parkir Rooftop,parkir rooftop,parkir rooftop
Parkir,Parkir Pinggir Jalan,parkir pinggir jalan,parkir pinggir jalan
Parkir,Parkir Area Publik,parkir area publik,parkir area publik
Parkir,Parkir VIP,parkir vip,parkir vip
Parkir,Valet Parking,valet parking,valet parking
Parkir,Parkir Inap,parkir inap,parkir inap
Parkir,Parkir Harian,parkir harian,parkir harian
Parkir,Parkir Mingguan,parkir mingguan,parkir mingguan
Parkir,Parkir Bulanan,parkir bulanan,parkir bulanan
Parkir,Parkir Tahunan,parkir tahunan,parkir tahunan
Parkir,Parkir Langganan,parkir langganan,parkir langganan
Parkir,Parkir Event,parkir event,parkir event
Parkir,Parkir Konser,parkir konser,parkir konser
Parkir,Parkir Pameran,parkir pameran,parkir pameran
Parkir,Parkir Car Free Day,parkir car free day,parkir car day
Parkir,Parkir Transit,parkir transit,parkir transit
Parkir,Park and Ride,park and ride,park and ride
Parkir,Parkir Rest Area,parkir rest area,parkir rest area
Parkir,Parkir Tol,parkir tol,parkir tol
Parkir,Parkir Wisata,parkir wisata,parkir wisata
Parkir,Parkir Kendaraan Listrik,parkir kendaraan listrik,parkir kendaraan listrik
Parkir,Charging + Parking,charging parking,charging parking
Parkir,Parkir Disabilitas,parkir disabilitas,parkir disabilitas
Parkir,Parkir Keluarga,parkir keluarga,parkir keluarga
Parkir,Parkir Khusus Wanita,parkir khusus wanita,parkir
Parkir,Parkir Online Booking,parkir online booking,parkir booking
Parkir,Smart Parking,smart parking,smart parking
Parkir,E-Parking,eparking,eparking
Parkir,Parkir Tunai,parkir tunai,parkir tunai
Parkir,Parkir QRIS,parkir qris,parkir qris
Parkir,Parkir E-Money,parkir emoney,parkir emoney
Parkir,Parkir Tap Card,parkir tap card,parkir tap card
Parkir,Denda Parkir,denda parkir,denda parkir
Parkir,Tilang Parkir,tilang parkir,tilang parkir
Parkir,Biaya Derek,biaya derek,biaya derek
Parkir,Titip Kendaraan,titip kendaraan,titip kendaraan
Parkir,Garasi Sewa,garasi sewa,garasi sewa
Parkir,Parkir Motor Premium,parkir motor premium,parkir motor
Parkir,Parkir Mobil Premium,parkir mobil premium,parkir
Parkir,Parkir Kendaraan Besar,parkir kendaraan besar,parkir kendaraan
Parkir,Parkir Sepeda Listrik,parkir sepeda listrik,parkir sepeda listrik
Parkir,Parkir Ojek Online,parkir ojek online,parkir ojek
Parkir,Parkir Taksi,parkir taksi,parkir taksi
Parkir,Parkir Armada,parkir armada,parkir armada
Parkir,Parkir Logistik,parkir logistik,parkir logistik
Parkir,Parkir Drop Off,parkir drop off,parkir drop off
Parkir,Parkir Pick Up,parkir pick up,parkir pick up
Parkir,Parkir 1 Jam,parkir jam,parkir jam
Parkir,Parkir 2 Jam,parkir jam,parkir jam
Parkir,Parkir Overnight,parkir overnight,parkir overnight
Parkir,Parkir Akhir Pekan,parkir akhir pekan,parkir pekan
Parkir,Parkir Hari Libur,parkir hari libur,parkir libur
Parkir,Parkir Musiman,parkir musiman,parkir musiman
Parkir,Parkir Khusus Member,parkir khusus member,parkir member
Parkir,Parkir Reservasi,parkir reservasi,parkir reservasi
Parkir,Parkir Darurat,parkir darurat,parkir darurat
Parkir,Parkir Sementara,parkir sementara,parkir
Parkir,Parkir Karyawan,parkir karyawan,parkir karyawan
Parkir,Parkir Tenant,parkir tenant,parkir tenant
Parkir,Parkir Pengunjung,parkir pengunjung,parkir pengunjung
Parkir,Parkir Loading Zone,parkir loading zone,parkir loading zone
Parkir,Parkir Bongkar Muat,parkir bongkar muat,parkir bongkar muat
Parkir,Parkir Bus Pariwisata,parkir bus pariwisata,parkir bus pariwisata
Parkir,Parkir Travel,parkir travel,parkir travel
Parkir,Parkir Shuttle,parkir shuttle,parkir shuttle
Parkir,Parkir Sepeda Motor Listrik,parkir sepeda motor listrik,parkir sepeda motor listrik
Parkir,Parkir Mobil Listrik,parkir mobil listrik,parkir listrik
Parkir,Parkir Hybrid,parkir hybrid,parkir hybrid
Parkir,Parkir Area Hijau,parkir area hijau,parkir area
Parkir,Parkir Hemat,parkir hemat,parkir
Parkir,Parkir Lainnya,parkir lainnya,parkir
Ride Hailing,Gojek Bike,gojek bike,gojek bike
Ride Hailing,Gojek Car,gojek car,gojek car
Ride Hailing,GoRide,goride,goride
Ride Hailing,GoCar,gocar,gocar
Ride Hailing,GoCar Luxe,gocar luxe,gocar luxe
Ride Hailing,GoBluebird,gobluebird,gobluebird
Ride Hailing,Grab Bike,grab bike,grab bike
Ride Hailing,Grab Car,grab car,grab car
Ride Hailing,GrabCar Plus,grabcar plus,grabcar
Ride Hailing,GrabCar Premium,grabcar premium,grabcar
Ride Hailing,GrabTaxi,grabtaxi,grabtaxi
Ride Hailing,GrabRent,grabrent,grabrent
Ride Hailing,Maxim Bike,maxim bike,maxim bike
Ride Hailing,Maxim Car,maxim car,maxim car
Ride Hailing,Maxim Delivery Ride,maxim delivery ride,maxim delivery ride
Ride Hailing,InDrive Bike,indrive bike,indrive bike
Ride Hailing,InDrive Car,indrive car,indrive car
Ride Hailing,Bluebird App Ride,bluebird app ride,bluebird app ride
Ride Hailing,Taxi Online,taxi online,taxi
Ride Hailing,Taxi Premium Online,taxi premium online,taxi
Ride Hailing,Carpool Ride,carpool ride,carpool ride
Ride Hailing,Ride Sharing,ride sharing,ride sharing
Ride Hailing,Pooling Ride,pooling ride,pooling ride
Ride Hailing,Women Only Ride,women only ride,women only ride
Ride Hailing,Family Ride,family ride,family ride
Ride Hailing,Executive Ride,executive ride,executive ride
Ride Hailing,Priority Ride,priority ride,priority ride
Ride Hailing,XL Vehicle Ride,xl vehicle ride,vehicle ride
Ride Hailing,Van Ride,van ride,van ride
Ride Hailing,SUV Ride,suv ride,suv ride
Ride Hailing,EV Ride,ev ride,ev ride
Ride Hailing,Motor Listrik Ride,motor listrik ride,motor listrik ride
Ride Hailing,Airport Transfer,airport transfer,airport transfer
Ride Hailing,Station Transfer,station transfer,station transfer
Ride Hailing,Hotel Transfer,hotel transfer,hotel transfer
Ride Hailing,Shuttle Ride,shuttle ride,shuttle ride
Ride Hailing,City Tour Ride,city tour ride,city tour ride
Ride Hailing,Hourly Booking,hourly booking,hourly booking
Ride Hailing,Daily Booking,daily booking,daily booking
Ride Hailing,Weekly Booking,weekly booking,weekly booking
Ride Hailing,Subscription Ride,subscription ride,subscription ride
Ride Hailing,Corporate Ride,corporate ride,corporate ride
Ride Hailing,Student Ride,student ride,student ride
Ride Hailing,Promo Ride,promo ride,ride
Ride Hailing,Shared Bike Ride,shared bike ride,shared bike ride
Ride Hailing,Shared Car Ride,shared car ride,shared car ride
Ride Hailing,Late Night Ride,late night ride,late night ride
Ride Hailing,Emergency Ride,emergency ride,emergency ride
Ride Hailing,Pet Friendly Ride,pet friendly ride,pet friendly ride
Ride Hailing,Child Seat Ride,child seat ride,child seat ride
Ride Hailing,Parcel + Ride,parcel ride,parcel ride
Ride Hailing,Intercity Ride,intercity ride,intercity ride
Ride Hailing,Ride to Work,ride to work,ride to work
Ride Hailing,Ride to Campus,ride to campus,ride to campus
Ride Hailing,Ride to Mall,ride to mall,ride to mall
Ride Hailing,Ride to Hospital,ride to hospital,ride to hospital
Ride Hailing,Ride to Event,ride to event,ride to event
Ride Hailing,Ride Return Trip,ride return trip,ride return trip
Ride Hailing,Multi Stop Ride,multi stop ride,multi stop ride
Ride Hailing,Scheduled Ride,scheduled ride,scheduled ride
Ride Hailing,Instant Ride,instant ride,instant ride
Ride Hailing,Ride Voucher,ride voucher,ride
Ride Hailing,Ride Cashback,ride cashback,ride
Ride Hailing,Luxury Sedan Ride,luxury sedan ride,luxury sedan ride
Ride Hailing,MPV Ride,mpv ride,mpv ride
Ride Hailing,Pickup Ride,pickup ride,pickup ride
Ride Hailing,Tourism Ride,tourism ride,tourism ride
Ride Hailing,Weekend Ride,weekend ride,weekend ride
Ride Hailing,Holiday Ride,holiday ride,holiday ride
Ride Hailing,Monthly Ride Pass,monthly ride pass,monthly ride pass
Ride Hailing,Eco Ride,eco ride,ride
Ride Hailing,Green Ride,green ride,green ride
Ride Hailing,Female Driver Ride,female driver ride,female driver ride
Ride Hailing,Senior Friendly Ride,senior friendly ride,friendly ride
Ride Hailing,Accessible Ride,accessible ride,accessible ride
Ride Hailing,Wheelchair Ride,wheelchair ride,wheelchair ride
Ride Hailing,Premium Bike Ride,premium bike ride,bike ride
Ride Hailing,Fast Pickup Ride,fast pickup ride,fast pickup ride
Ride Hailing,Long Distance Ride,long distance ride,long distance ride
Ride Hailing,Short Distance Ride,short distance ride,short distance ride
Ride Hailing,Peak Hour Ride,peak hour ride,peak hour ride
Ride Hailing,Non Peak Ride,non peak ride,non peak ride
Ride Hailing,Night Surge Ride,night surge ride,night surge ride
Ride Hailing,Rainy Day Ride,rainy day ride,rainy day ride
Ride Hailing,VIP Transfer,vip transfer,vip transfer
Ride Hailing,Event Shuttle Ride,event shuttle ride,event shuttle ride
Ride Hailing,Ride Membership,ride membership,ride membership
Ride Hailing,Rental with Driver,rental with driver,rental with driver
Ride Hailing,Smart Ride,smart ride,smart ride
Ride Hailing,Ride Credits,ride credits,ride credits
Ride Hailing,Ride Lainnya,ride lainnya,ride
Ride Hailing,Gojek Motor,gojek motor,gojek motor
Ride Hailing,Gojek Mobil,gojek mobil,gojek
Ride Hailing,GoCar Mewah,gocar mewah,gocar
Ride Hailing,Grab Motor,grab motor,grab motor
Ride Hailing,Grab Mobil,grab mobil,grab
Ride Hailing,Grab Mobil Plus,grab mobil plus,grab
Ride Hailing,Grab Mobil Premium,grab mobil premium,grab
Ride Hailing,Grab Taksi,grab taksi,grab taksi
Ride Hailing,Grab Sewa,grab sewa,grab sewa
Ride Hailing,Maxim Motor,maxim motor,maxim motor
Ride Hailing,Maxim Mobil,maxim mobil,maxim
Ride Hailing,Maxim Antar Barang + Penumpang,maxim antar barang penumpang,maxim barang penumpang
Ride Hailing,InDrive Motor,indrive motor,indrive motor
Ride Hailing,InDrive Mobil,indrive mobil,indrive
Ride Hailing,Bluebird Aplikasi,bluebird aplikasi,bluebird aplikasi
Ride Hailing,Taksi Online,taksi online,taksi
Ride Hailing,Taksi Premium Online,taksi premium online,taksi
Ride Hailing,Nebeng Mobil,nebeng mobil,nebeng
Ride Hailing,Berbagi Tumpangan,berbagi tumpangan,berbagi tumpangan
Ride Hailing,Tumpangan Gabungan,tumpangan gabungan,tumpangan gabungan
Ride Hailing,Khusus Wanita,khusus wanita,
Ride Hailing,Perjalanan Keluarga,perjalanan keluarga,perjalanan keluarga
Ride Hailing,Perjalanan Eksekutif,perjalanan eksekutif,perjalanan eksekutif
Ride Hailing,Prioritas,prioritas,prioritas
Ride Hailing,Kendaraan XL,kendaraan xl,kendaraan
Ride Hailing,Van,van,van
Ride Hailing,SUV,suv,suv
Ride Hailing,Kendaraan Listrik,kendaraan listrik,kendaraan listrik
Ride Hailing,Motor Listrik,motor listrik,motor listrik
Ride Hailing,Antar Bandara,antar bandara,bandara
Ride Hailing,Antar Stasiun,antar stasiun,stasiun
Ride Hailing,Antar Hotel,antar hotel,hotel
Ride Hailing,Shuttle Online,shuttle online,shuttle
Ride Hailing,Tur Kota,tur kota,tur kota
Ride Hailing,Sewa Per Jam,sewa per jam,sewa jam
Ride Hailing,Sewa Harian,sewa harian,sewa harian
Ride Hailing,Sewa Mingguan,sewa mingguan,sewa mingguan
Ride Hailing,Langganan Perjalanan,langganan perjalanan,langganan perjalanan
Ride Hailing,Transport Karyawan,transport karyawan,transport karyawan
Ride Hailing,Transport Mahasiswa,transport mahasiswa,transport mahasiswa
Ride Hailing,Promo Perjalanan,promo perjalanan,perjalanan
Ride Hailing,Berbagi Motor,berbagi motor,berbagi motor
Ride Hailing,Berbagi Mobil,berbagi mobil,berbagi
Ride Hailing,Perjalanan Malam,perjalanan malam,perjalanan malam
Ride Hailing,Perjalanan Darurat,perjalanan darurat,perjalanan darurat
Ride Hailing,Ramah Hewan Peliharaan,ramah hewan peliharaan,hewan peliharaan
Ride Hailing,Kursi Anak,kursi anak,kursi
Ride Hailing,Antar Paket + Penumpang,antar paket penumpang,penumpang
Ride Hailing,Antar Kota,antar kota,kota
Ride Hailing,Ke Kantor,ke kantor,kantor
Ride Hailing,Ke Kampus,ke kampus,kampus
Ride Hailing,Ke Mall,ke mall,mall
Ride Hailing,Ke Rumah Sakit,ke rumah sakit,rumah
Ride Hailing,Ke Acara,ke acara,acara
Ride Hailing,Pulang Pergi,pulang pergi,pulang pergi
Ride Hailing,Multi Tujuan,multi tujuan,multi tujuan
Ride Hailing,Jadwal Pesan,jadwal pesan,jadwal pesan
Ride Hailing,Pesan Sekarang,pesan sekarang,pesan
Ride Hailing,Voucher Perjalanan,voucher perjalanan,perjalanan
Ride Hailing,Cashback Perjalanan,cashback perjalanan,perjalanan
Ride Hailing,Sedan Mewah,sedan mewah,sedan
Ride Hailing,MPV,mpv,mpv
Ride Hailing,Pickup,pickup,pickup
Ride Hailing,Paket Bulanan,paket bulanan,bulanan
Ride Hailing,Hemat Energi,hemat energi,energi
Ride Hailing,Ramah Lingkungan,ramah lingkungan,lingkungan
Ride Hailing,Driver Perempuan,driver perempuan,driver
Ride Hailing,Ramah Lansia,ramah lansia,
Ride Hailing,Akses Disabilitas,akses disabilitas,akses disabilitas
Ride Hailing,Kursi Roda,kursi roda,kursi roda
Ride Hailing,Motor Premium,motor premium,motor
Ride Hailing,Jemput Cepat,jemput cepat,jemput
Ride Hailing,Jarak Jauh,jarak jauh,jarak
Ride Hailing,Jarak Dekat,jarak dekat,jarak
Ride Hailing,Jam Sibuk,jam sibuk,jam sibuk
Ride Hailing,Jam Sepi,jam sepi,jam
Ride Hailing,Tarif Hujan,tarif hujan,tarif hujan
Ride Hailing,Tarif Malam,tarif malam,tarif malam
Ride Hailing,Transfer VIP,transfer vip,transfer vip
Ride Hailing,Shuttle Acara,shuttle acara,shuttle acara
Ride Hailing,Membership Ride,membership ride,membership ride
Ride Hailing,Rental dengan Sopir,rental dengan sopir,rental sopir
Ride Hailing,Ride Pintar,ride pintar,ride
Ride Hailing,Kredit Perjalanan,kredit perjalanan,kredit perjalanan
BBM,Shell FuelSave 92,shell fuelsave,shell fuelsave
BBM,Shell FuelSave Diesel,shell fuelsave diesel,shell fuelsave diesel
BBM,BP Ultimate Diesel,bp ultimate diesel,bp ultimate diesel
BBM,Revvo 95,revvo,revvo
BBM,Revvo Diesel,revvo diesel,revvo diesel
BBM,Gasohol,gasohol,gasohol
BBM,Compressed Natural Gas (CNG) / Gas Alam Terkompresi,compressed natural gas cng gas alam terkompresi,compressed gas cng gas alam terkompresi
BBM,Liquefied Natural Gas (LNG) / Gas Alam Cair,liquefied natural gas lng gas alam cair,liquefied gas lng gas alam
BBM,Liquefied Petroleum Gas (LPG) / Gas Petroleum Cair,liquefied petroleum gas lpg gas petroleum cair,liquefied petroleum gas lpg gas petroleum
BBM,Electric Vehicle Charging AC / Pengisian Kendaraan Listrik AC,electric vehicle charging ac pengisian kendaraan listrik ac,electric vehicle charging ac pengisian kendaraan listrik ac
BBM,Electric Vehicle Charging DC Fast / Pengisian Kendaraan Listrik DC Cepat,electric vehicle charging dc fast pengisian kendaraan listrik dc cepat,electric vehicle charging dc fast pengisian kendaraan listrik dc
BBM,Electric Vehicle Ultra Fast Charging / Pengisian Ultra Cepat Kendaraan Listrik,electric vehicle ultra fast charging pengisian ultra cepat kendaraan listrik,electric vehicle fast charging pengisian kendaraan listrik
BBM,Home EV Charging / Pengisian EV di Rumah,home ev charging pengisian ev di rumah,home ev charging pengisian ev rumah
BBM,Public EV Charging / Pengisian EV Umum,public ev charging pengisian ev umum,public ev charging pengisian ev
BBM,Hydrogen Fuel / Bahan Bakar Hidrogen,hydrogen fuel bahan bakar hidrogen,hydrogen fuel bakar hidrogen
BBM,Aviation Turbine Fuel (Avtur) / Bahan Bakar Pesawat Jet,aviation turbine fuel avtur bahan bakar pesawat jet,aviation turbine fuel avtur bakar pesawat jet
BBM,Aviation Gasoline (Avgas) / Bensin Pesawat,aviation gasoline avgas bensin pesawat,aviation gasoline avgas bensin pesawat
BBM,Marine Fuel Oil / Bahan Bakar Kapal,marine fuel oil bahan bakar kapal,marine fuel oil bakar kapal
BBM,Fuel Oil / Minyak Bakar,fuel oil minyak bakar,fuel oil minyak bakar
BBM,Industrial Diesel / Solar Industri,industrial diesel solar industri,industrial diesel industri
BBM,High Speed Diesel / Solar Kecepatan Tinggi,high speed diesel solar kecepatan tinggi,high speed diesel kecepatan
BBM,Low Sulfur Diesel / Solar Rendah Sulfur,low sulfur diesel solar rendah sulfur,low sulfur diesel sulfur
BBM,Subsidized Diesel / Solar Subsidi,subsidized diesel solar subsidi,subsidized diesel subsidi
BBM,Non Subsidized Diesel / Solar Non Subsidi,non subsidized diesel solar non subsidi,non subsidized diesel non subsidi
BBM,Kerosene / Minyak Tanah,kerosene minyak tanah,kerosene minyak tanah
BBM,Industrial Kerosene / Minyak Tanah Industri,industrial kerosene minyak tanah industri,industrial kerosene minyak tanah industri
BBM,Retail Gasoline / Bensin Eceran,retail gasoline bensin eceran,retail gasoline bensin eceran
BBM,Retail Diesel / Solar Eceran,retail diesel solar eceran,retail diesel eceran
BBM,Jerry Can Fuel / BBM Jerigen,jerry can fuel bbm jerigen,jerry can fuel bbm jerigen
