Kategori,Nama Produk,text_cleaned,text_stopwords_removed,clean_text
BBM,Pertalite,pertalite,pertalite,pertalite
BBM,Bensin,bensin,bensin,bensin
BBM,Pertamax,pertamax,pertamax,pertamax
BBM,Pertamax Turbo,pertamax turbo,pertamax turbo,pertamax turbo
BBM,Dexlite,dexlite,dexlite,dexlite
BBM,Pertamina Dex,pertamina dex,pertamina dex,pertamina dex
BBM,Solar,solar,,
BBM,Shell Super,shell super,shell,shell
BBM,Shell V-Power,shell vpower,shell vpower,shell vpower
BBM,Shell V-Power Nitro+,shell vpower nitro,shell vpower nitro,shell vpower nitro
BBM,Shell V-Power Diesel,shell vpower diesel,shell vpower diesel,shell vpower diesel
BBM,BP 90,bp,bp,bp
BBM,BP 92,bp,bp,bp
BBM,BP Ultimate,bp ultimate,bp ultimate,bp ultimate
BBM,BP Diesel,bp diesel,bp diesel,bp diesel
BBM,Revvo 89,revvo,revvo,revvo
BBM,Revvo 90,revvo,revvo,revvo
BBM,Revvo 92,revvo,revvo,revvo
BBM,Diesel Primus,diesel primus,diesel primus,diesel primus
BBM,Bio Solar,bio solar,bio,bio
BBM,Pertamax Green 95,pertamax green,pertamax green,pertamax green
BBM,Bioetanol Blend,bioetanol blend,bioetanol blend,bioetanol blend
BBM,Premium (RON 88),premium ron,ron,ron
Parkir,Parkir Motor,parkir motor,parkir motor,parkir motor
Parkir,Parkir Mobil,parkir mobil,parkir,parkir
Parkir,Parkir Bus,parkir bus,parkir bus,parkir bus
Parkir,Parkir Truk,parkir truk,parkir truk,parkir truk
Parkir,Parkir Sepeda,parkir sepeda,parkir sepeda,parkir sepeda
Parkir,Parkir Kampus,parkir kampus,parkir kampus,parkir kampus
Parkir,Parkir Sekolah,parkir sekolah,parkir sekolah,parkir sekolah
Parkir,Parkir Kantor,parkir kantor,parkir kantor,parkir kantor
Parkir,Parkir Mall,parkir mall,parkir mall,parkir mall
Parkir,Parkir Pasar,parkir pasar,parkir,parkir
Parkir,Parkir Rumah Sakit,parkir rumah sakit,parkir rumah,parkir rumah
Parkir,Parkir Hotel,parkir hotel,parkir hotel,parkir hotel
Parkir,Parkir Restoran,parkir restoran,parkir restoran,parkir restoran
Parkir,Parkir Apartemen,parkir apartemen,parkir apartemen,parkir apartemen
Parkir,Parkir Perumahan,parkir perumahan,parkir perumahan,parkir rumah
